Date,plotID,Temp,mean_humid
10/21/18,ARO1,29.7312,12.68
10/7/18,ARO1,39.9884,10.89
9/29/18,ARO1,33.01073,9.55
9/16/18,ARO1,43.69946,9.226666667
9/11/18,ARO1,43.9458,10.26333333
9/3/18,ARO1,43.89573,11.16333333
8/26/18,ARO1,42.95866,15.30666667
8/19/18,ARO1,45.81813,16.32666667
8/12/18,ARO1,44.16153,18.83666667
8/6/18,ARO1,48.51106,20.30666667
7/29/18,ARO1,44.24973,22.40666667
10/21/18,ARO2,35.5584,11.81333333
10/7/18,ARO2,44.67793,12.77666667
9/29/18,ARO2,37.38533,13.17333333
9/16/18,ARO2,47.73053,13.20666667
9/11/18,ARO2,47.83386,17.04
9/3/18,ARO2,48.10866,17.46666667
8/26/18,ARO2,46.4526,18.33333333
8/19/18,ARO2,49.27613,19.03333333
8/12/18,ARO2,46.95926,19.26
8/6/18,ARO2,50.462,18.15333333
7/29/18,ARO2,46.245,20.79333333
10/21/18,ARO3,35.92513,10.94166667
10/7/18,ARO3,45.38946,11.75
9/29/18,ARO3,37.488,10.82333333
9/16/18,ARO3,47.72573,12.73666667
9/11/18,ARO3,46.77353,14.47333333
9/3/18,ARO3,46.9344,15.4
8/26/18,ARO3,44.96506,18.06666667
8/19/18,ARO3,47.68953,21.34
8/12/18,ARO3,45.29873,20.30666667
8/6/18,ARO3,48.23733,19.51333333
7/29/18,ARO3,43.78093,21.40666667
10/21/18,INO1,34.81026,32.53133333
10/7/18,INO1,34.48646,33.464
9/29/18,INO1,40.07093,34.52333333
9/16/18,INO1,43.107,35.08733333
9/11/18,INO1,40.96613,36.772
9/3/18,INO1,45.44146,37.23266667
8/26/18,INO1,46.04173,39.25
8/19/18,INO1,50.59493,41.38933333
8/12/18,INO1,50.7554,41.43133333
8/6/18,INO1,48.08246,43.954
7/29/18,INO1,45.86193,43.104
10/21/18,INO2,35.80633,31.242
10/7/18,INO2,36.58513,31.36
9/29/18,INO2,41.07853,31.79466667
9/16/18,INO2,45.7558,32.42666667
9/11/18,INO2,43.6736,32.42333333
9/3/18,INO2,47.36093,33.21466667
8/26/18,INO2,48.46893,33.86
8/19/18,INO2,51.7572,34.44666667
8/12/18,INO2,52.4242,35.73333333
8/6/18,INO2,49.9146,36.38666667
7/29/18,INO2,45.56526,41.33333333
10/21/18,INO3,32.61906,26.24266667
10/7/18,INO3,32.0616,26.422
9/29/18,INO3,37.73413,27.88633333
9/16/18,INO3,39.8224,29.20866667
9/11/18,INO3,38.0088,33.556
9/3/18,INO3,41.2556,36.164
8/26/18,INO3,40.43353,35.52333333
8/19/18,INO3,45.43366,35.19226667
8/12/18,INO3,44.84366,35.74526667
8/6/18,INO3,41.0064,35.06353333
7/29/18,INO3,38.83333,37.5692
10/21/18,INP1,28.17413,31.46866667
10/7/18,INP1,27.01866,34.137
9/29/18,INP1,32.25566,32.85633333
9/16/18,INP1,32.5328,32.393
9/11/18,INP1,32.78606,30.67633333
9/3/18,INP1,36.18313,34.36466667
8/26/18,INP1,36.03393,35.701
8/19/18,INP1,40.98113,36.99033333
8/12/18,INP1,40.8118,36.631
8/6/18,INP1,36.60253,38.173
7/29/18,INP1,34.43866,42.56566667
10/21/18,INP2,34.97773,26.81233333
10/7/18,INP2,34.6288,26.53533333
9/29/18,INP2,38.541,27.17166667
9/16/18,INP2,42.38146,29.62433333
9/11/18,INP2,39.92786,31.382
9/3/18,INP2,44.65826,34.16966667
8/26/18,INP2,45.44213,34.47633333
8/19/18,INP2,47.99786,33.956
8/12/18,INP2,49.2264,34.48466667
8/6/18,INP2,46.46993,35.666
7/29/18,INP2,42.62833,33.62866667
10/21/18,INP3,37.96833,31.82166667
10/7/18,INP3,35.82446,33.52033333
9/29/18,INP3,40.37893,33.05266667
9/16/18,INP3,42.50613,33.832
9/11/18,INP3,39.89246,35.72366667
9/3/18,INP3,44.1978,36.15066667
8/26/18,INP3,44.0436,39.83
8/19/18,INP3,46.0108,41.07133333
8/12/18,INP3,47.69506,45.316
8/6/18,INP3,43.55413,45.964
7/29/18,INP3,40.34293,50.01466667
10/21/18,INT1,28.46106,29.90866667
10/7/18,INT1,30.22093,36.18366667
9/29/18,INT1,36.67593,42.59733333
9/16/18,INT1,39.8872,40.61466667
9/11/18,INT1,38.49946,40.039
9/3/18,INT1,43.6394,40.65466667
8/26/18,INT1,44.74613,41.58766667
8/19/18,INT1,50.39953,40.2
8/12/18,INT1,50.41846,38.39333333
8/6/18,INT1,46.80313,37.73333333
7/29/18,INT1,45.04366,37.55333333
10/21/18,INT2,30.16053,28.60666667
10/7/18,INT2,32.45546,27.555
9/29/18,INT2,38.0458,30.70066667
9/16/18,INT2,39.525,28.89366667
9/11/18,INT2,38.5176,30.52
9/3/18,INT2,43.89413,25.095
8/26/18,INT2,42.63826,26.187
8/19/18,INT2,47.9344,29.56066667
8/12/18,INT2,47.35773,34.85133333
8/6/18,INT2,44.42826,37.198
7/29/18,INT2,43.60666,36.31933333
10/21/18,INT3,29.24473,32
10/7/18,INT3,29.60186,31.84
9/29/18,INT3,34.93133,34.51333333
9/16/18,INT3,37.23293,36.02666667
9/11/18,INT3,36.7276,37.13333333
9/3/18,INT3,41.63093,34.75333333
8/26/18,INT3,41.42946,33.36666667
8/19/18,INT3,45.16786,32.6
8/12/18,INT3,45.25426,33.58666667
8/6/18,INT3,42.97293,35.50666667
7/29/18,INT3,39.982,38.91333333
10/21/18,MEP1,24.25742,47.97833333
10/7/18,MEP1,27.00826,57.80533333
9/29/18,MEP1,22.65693,60.02433333
9/16/18,MEP1,20.20473,61.25333333
9/11/18,MEP1,10.90273,62.69333333
9/3/18,MEP1,19.1932,62.59333333
8/26/18,MEP1,18.57946,62.48
8/19/18,MEP1,21.50326,63.55333333
8/12/18,MEP1,14.6996,61.33333333
8/6/18,MEP1,20.55433,54.82
7/29/18,MEP1,26.33037,54.3
10/21/18,MEP2,21.08646,50.20166667
10/7/18,MEP2,21.576,49.96
9/29/18,MEP2,19.27613,48.28
9/16/18,MEP2,17.5456,47.54666667
9/11/18,MEP2,12.11066,49.6
9/3/18,MEP2,17.71613,54.93333333
8/26/18,MEP2,17.3128,55.43333333
8/19/18,MEP2,20.489,47.76666667
8/12/18,MEP2,14.98833,49.70666667
8/6/18,MEP2,20.58626,47.35333333
7/29/18,MEP2,25.90706,44.48
10/21/18,MEP3,22.30408,52.859
10/7/18,MEP3,22.24228,54.74133333
9/29/18,MEP3,20.1848,66.99533333
9/16/18,MEP3,18.38637,69.80366667
9/11/18,MEP3,14.63913,67.22366667
9/3/18,MEP3,18.0652,62.84366667
8/26/18,MEP3,18.5318,60.439
8/19/18,MEP3,21.20653,58.04533333
8/12/18,MEP3,17.85093,60.24433333
8/6/18,MEP3,22.5124,63.65733333
7/29/18,MEP3,25.89466,64.59633333
10/21/18,MET1,23.37666,70.8
10/7/18,MET1,21.72893,68.56666667
9/29/18,MET1,18.84253,65.38666667
9/16/18,MET1,17.13266,61.33333333
9/11/18,MET1,6.95493,60.59333333
9/3/18,MET1,17.04026,57.37333333
8/26/18,MET1,16.81553,56.05333333
8/19/18,MET1,19.87253,53.54
8/12/18,MET1,7.8626,52.06
8/6/18,MET1,20.1796,50.65333333
7/29/18,MET1,25.47893,48.49333333
10/21/18,MET2,23.03185,41.13266667
10/7/18,MET2,22.16086,40.93333333
9/29/18,MET2,19.7026,41.74666667
9/16/18,MET2,17.34666,42.92666667
9/11/18,MET2,6.37413,46.37333333
9/3/18,MET2,17.36013,48.96666667
8/26/18,MET2,17.21233,52.05333333
8/19/18,MET2,20.41433,56.53333333
8/12/18,MET2,7.7604,59.48666667
8/6/18,MET2,20.5944,61.72
7/29/18,MET2,26.09726,62.6
10/21/18,MET3,21.97893,54.671
10/7/18,MET3,21.2686,63.724
9/29/18,MET3,19.34166,66.74366667
9/16/18,MET3,17.76073,66.00433333
9/11/18,MET3,7.10686,61.566
9/3/18,MET3,16.81166,64.56733333
8/26/18,MET3,16.57946,64.42066667
8/19/18,MET3,19.84006,62.42233333
8/12/18,MET3,8.30973,63.62233333
8/6/18,MET3,19.58173,64.93966667
7/29/18,MET3,24.99653,62.54133333
