date,site,block,plot,cage_ID,Species,Tick_ID,death_t_f,Experiment ,
8/5/2018,Arid,1,total,A1O1,DEVA,1,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,2,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,3,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,4,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,5,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,6,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,7,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,8,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,9,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,10,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,11,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,12,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,13,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,14,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,15,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,16,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,17,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,18,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,19,0,1,
8/5/2018,Arid,1,total,A1O1,DEVA,20,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,21,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,22,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,23,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,24,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,25,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,26,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,27,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,28,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,29,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,30,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,31,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,32,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,33,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,34,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,35,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,36,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,37,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,38,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,39,1,1,
8/5/2018,Arid,1,total,A1O1,DEVA,40,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,41,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,42,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,43,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,44,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,45,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,46,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,47,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,48,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,49,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,50,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,51,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,52,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,53,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,54,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,55,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,56,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,57,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,58,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,59,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,60,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,61,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,62,0,1,
8/5/2018,Arid,1,total,A1O2,DEVA,63,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,64,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,65,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,66,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,67,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,68,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,69,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,70,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,71,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,72,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,73,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,74,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,75,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,76,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,77,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,78,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,79,1,1,
8/5/2018,Arid,1,total,A1O2,DEVA,80,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,81,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,82,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,83,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,84,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,85,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,86,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,87,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,88,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,89,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,90,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,91,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,92,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,93,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,94,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,95,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,96,0,1,
8/5/2018,Arid,1,total,A1O3,DEVA,97,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,98,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,99,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,100,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,101,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,102,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,103,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,104,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,105,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,106,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,107,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,108,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,109,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,110,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,111,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,112,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,113,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,114,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,115,1,1,
8/5/2018,Arid,1,total,A1O3,DEVA,116,1,1,
