plotID,Date,mean_temp,mean_humid
ARO1,7/29/18,44.24973,22.40666667
ARO1,8/6/18,48.51106,20.30666667
ARO1,8/12/18,44.16153,18.83666667
ARO1,8/19/18,45.81813,16.32666667
ARO1,8/26/18,42.95866,15.30666667
ARO1,9/3/18,43.89573,11.16333333
ARO1,9/11/18,43.9458,10.26333333
ARO1,9/16/18,43.69946,9.226666667
ARO1,9/29/18,33.01073,9.55
ARO1,10/7/18,39.9884,10.89
ARO1,10/21/18,29.7312,12.68
ARO2,7/29/18,46.245,20.79333333
ARO2,8/6/18,50.462,18.15333333
ARO2,8/12/18,46.95926,19.26
ARO2,8/19/18,49.27613,19.03333333
ARO2,8/26/18,46.4526,18.33333333
ARO2,9/3/18,48.10866,17.46666667
ARO2,9/11/18,47.83386,17.04
ARO2,9/16/18,47.73053,13.20666667
ARO2,9/29/18,37.38533,13.17333333
ARO2,10/7/18,44.67793,12.77666667
ARO2,10/21/18,35.5584,11.81333333
ARO3,7/29/18,43.78093,21.40666667
ARO3,8/6/18,48.23733,19.51333333
ARO3,8/12/18,45.29873,20.30666667
ARO3,8/19/18,47.68953,21.34
ARO3,8/26/18,44.96506,18.06666667
ARO3,9/3/18,46.9344,15.4
ARO3,9/11/18,46.77353,14.47333333
ARO3,9/16/18,47.72573,12.73666667
ARO3,9/29/18,37.488,10.82333333
ARO3,10/7/18,45.38946,11.75
ARO3,10/21/18,35.92513,10.94166667
ARP1,7/29/18,40.99333333,34.80666667
ARP1,8/6/18,45.19333333,32.98
ARP1,8/12/18,40.92666667,32.31333333
ARP1,8/19/18,42.98,35.03333333
ARP1,8/26/18,40.09333333,35.66
ARP1,9/3/18,41.40666667,34.29
ARP1,9/11/18,41.54,32.06666667
ARP1,9/16/18,41.12666667,31.89666667
ARP1,9/29/18,30.90666667,29.22666667
ARP1,10/7/18,38.48666667,25.91333333
ARP1,10/21/18,28.61333333,27.43333333
ARP2,7/29/18,42.16,33.61333333
ARP2,8/6/18,46.62,31.50666667
ARP2,8/12/18,42.14666667,36.19333333
ARP2,8/19/18,44.34,35.78666667
ARP2,8/26/18,41.06,35.33333333
ARP2,9/3/18,42.54,32.06666667
ARP2,9/11/18,42.18,28.64666667
ARP2,9/16/18,41.64666667,26.57333333
ARP2,9/29/18,30.9,26.18
ARP2,10/7/18,38.45333333,26.54
ARP2,10/21/18,28.21333333,26.08
ARP3,7/29/18,40.00666667,31.25333333
ARP3,8/6/18,44.32666667,28.53333333
ARP3,8/12/18,41.31333333,29.03333333
ARP3,8/19/18,43.64,30.14
ARP3,8/26/18,40.30666667,28.86
ARP3,9/3/18,41.83333333,27.70333333
ARP3,9/11/18,41.72,27.95
ARP3,9/16/18,41.67333333,27.97333333
ARP3,9/29/18,31.41333333,25.93666667
ARP3,10/7/18,37.21333333,25.01666667
ARP3,10/21/18,29.12666667,23.79
ART1,7/29/18,39.36,27.70666667
ART1,8/6/18,43.68666667,24.52333333
ART1,8/12/18,39.75333333,24.59666667
ART1,8/19/18,41.56666667,23.06333333
ART1,8/26/18,38.69333333,23.11666667
ART1,9/3/18,39.86666667,24.10666667
ART1,9/11/18,39.96666667,24.53333333
ART1,9/16/18,39.22,24.74333333
ART1,9/29/18,29.93333333,25.64
ART1,10/7/18,37.1,24.43333333
ART1,10/21/18,28.11333333,25.58333333
ART2,7/29/18,37.96666667,23.58666667
ART2,8/6/18,42.87333333,23.42666667
ART2,8/12/18,38.81333333,25.78666667
ART2,8/19/18,40.78,26.16
ART2,8/26/18,38.19333333,25.63333333
ART2,9/3/18,39.39333333,26.18333333
ART2,9/11/18,40.16666667,23.42666667
ART2,9/16/18,39.66666667,22.84
ART2,9/29/18,30.3,22.93333333
ART2,10/7/18,37.82666667,22.57
ART2,10/21/18,28.59333333,22.59
ART3,7/29/18,39.66666667,23.03333333
ART3,8/6/18,44.12666667,22.68
ART3,8/12/18,40.18,23.66666667
ART3,8/19/18,41.9,25.05333333
ART3,8/26/18,39.01333333,22.99333333
ART3,9/3/18,40.93333333,22.73333333
ART3,9/11/18,40.57333333,21.39666667
ART3,9/16/18,40.66666667,21.02333333
ART3,9/29/18,30.88666667,19.96666667
ART3,10/7/18,38.01333333,20.33333333
ART3,10/21/18,28.6,20.53
INO1,7/29/18,45.86193,43.104
INO1,8/6/18,48.08246,43.954
INO1,8/12/18,50.7554,41.43133333
INO1,8/19/18,50.59493,41.38933333
INO1,8/26/18,46.04173,39.25
INO1,9/3/18,45.44146,37.23266667
INO1,9/11/18,40.96613,36.772
INO1,9/16/18,43.107,35.08733333
INO1,9/29/18,40.07093,34.52333333
INO1,10/7/18,34.48646,33.464
INO1,10/21/18,34.81026,32.53133333
INO2,7/29/18,45.56526,41.33333333
INO2,8/6/18,49.9146,36.38666667
INO2,8/12/18,52.4242,35.73333333
INO2,8/19/18,51.7572,34.44666667
INO2,8/26/18,48.46893,33.86
INO2,9/3/18,47.36093,33.21466667
INO2,9/11/18,43.6736,32.42333333
INO2,9/16/18,45.7558,32.42666667
INO2,9/29/18,41.07853,31.79466667
INO2,10/7/18,36.58513,31.36
INO2,10/21/18,35.80633,31.242
INO3,7/29/18,38.83333,37.5692
INO3,8/6/18,41.0064,35.06353333
INO3,8/12/18,44.84366,35.74526667
INO3,8/19/18,45.43366,35.19226667
INO3,8/26/18,40.43353,35.52333333
INO3,9/3/18,41.2556,36.164
INO3,9/11/18,38.0088,33.556
INO3,9/16/18,39.8224,29.20866667
INO3,9/29/18,37.73413,27.88633333
INO3,10/7/18,32.0616,26.422
INO3,10/21/18,32.61906,26.24266667
INP1,7/29/18,34.43866,42.56566667
INP1,8/6/18,36.60253,38.173
INP1,8/12/18,40.8118,36.631
INP1,8/19/18,40.98113,36.99033333
INP1,8/26/18,36.03393,35.701
INP1,9/3/18,36.18313,34.36466667
INP1,9/11/18,32.78606,30.67633333
INP1,9/16/18,32.5328,32.393
INP1,9/29/18,32.25566,32.85633333
INP1,10/7/18,27.01866,34.137
INP1,10/21/18,28.17413,31.46866667
INP2,7/29/18,42.62833,33.62866667
INP2,8/6/18,46.46993,35.666
INP2,8/12/18,49.2264,34.48466667
INP2,8/19/18,47.99786,33.956
INP2,8/26/18,45.44213,34.47633333
INP2,9/3/18,44.65826,34.16966667
INP2,9/11/18,39.92786,31.382
INP2,9/16/18,42.38146,29.62433333
INP2,9/29/18,38.541,27.17166667
INP2,10/7/18,34.6288,26.53533333
INP2,10/21/18,34.97773,26.81233333
INP3,7/29/18,40.34293,50.01466667
INP3,8/6/18,43.55413,45.964
INP3,8/12/18,47.69506,45.316
INP3,8/19/18,46.0108,41.07133333
INP3,8/26/18,44.0436,39.83
INP3,9/3/18,44.1978,36.15066667
INP3,9/11/18,39.89246,35.72366667
INP3,9/16/18,42.50613,33.832
INP3,9/29/18,40.37893,33.05266667
INP3,10/7/18,35.82446,33.52033333
INP3,10/21/18,37.96833,31.82166667
INT1,7/29/18,45.04366,37.55333333
INT1,8/6/18,46.80313,37.73333333
INT1,8/12/18,50.41846,38.39333333
INT1,8/19/18,50.39953,40.2
INT1,8/26/18,44.74613,41.58766667
INT1,9/3/18,43.6394,40.65466667
INT1,9/11/18,38.49946,40.039
INT1,9/16/18,39.8872,40.61466667
INT1,9/29/18,36.67593,42.59733333
INT1,10/7/18,30.22093,36.18366667
INT1,10/21/18,28.46106,29.90866667
INT2,7/29/18,43.60666,36.31933333
INT2,8/6/18,44.42826,37.198
INT2,8/12/18,47.35773,34.85133333
INT2,8/19/18,47.9344,29.56066667
INT2,8/26/18,42.63826,26.187
INT2,9/3/18,43.89413,25.095
INT2,9/11/18,38.5176,30.52
INT2,9/16/18,39.525,28.89366667
INT2,9/29/18,38.0458,30.70066667
INT2,10/7/18,32.45546,27.555
INT2,10/21/18,30.16053,28.60666667
INT3,7/29/18,39.982,38.91333333
INT3,8/6/18,42.97293,35.50666667
INT3,8/12/18,45.25426,33.58666667
INT3,8/19/18,45.16786,32.6
INT3,8/26/18,41.42946,33.36666667
INT3,9/3/18,41.63093,34.75333333
INT3,9/11/18,36.7276,37.13333333
