plotID,climate,block,exclosure,species,date_start,date_alive,death_t_f,days_elpsd,excl_ranked,Temp,mean_humid
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,DEVA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
ARO1,AR,1,O,IXPA,7/28/18,8/5/18,1,8,3,48.51106,20.30666667
